i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
0	1941.3	0.0	0.0	1887.30886003	-57.5904857479	69.0359747797	-53.9911399679597	-57.590485747949586	69.03597477974625
1	1941.12606592	33.8824815145	0.0	2009.93508952	-36.1678139885	-16.4579507967	68.80902359592335	-70.05029550302528	-16.457950796709525
2	1940.60418575	67.7673914454	0.0	2001.80124349	42.2275375855	84.259019132	61.19705773406449	-25.53985385996782	84.25901913202208
3	1939.73412567	101.657157926	0.0	1945.05788975	13.6909624247	-29.5038435702	5.323764084387264	-87.96619550105554	-29.503843570172933
4	1938.51549572	135.554208519	0.0	1988.11102468	204.590477808	-64.708035925	49.59552895795423	69.03626928893803	-64.7080359250199
5	1936.94774957	169.460969929	0.0	1882.49513954	123.978055295	65.0198663997	-54.45261002502841	-45.48291463384879	65.01986639968362
6	1935.03018399	203.379867704	0.0	2002.97850656	139.773452215	46.7932267033	67.94832257209512	-63.60641548904673	46.7932267033282
7	1932.76193835	237.31332593	0.0	1880.45212992	282.275959307	17.7336455801	-52.30980842248667	44.962633376829615	17.733645580128325
8	1930.14199387	271.263766913	0.0	2020.47799189	324.839466159	87.8387531994	90.33599801380106	53.57569924584834	87.83875319938807
9	1927.16917285	305.233610853	0.0	1944.85008773	224.6414898	84.8904302352	17.68091488291175	-80.59212105255625	84.89043023517843
10	1923.84213765	339.225275492	0.0	1875.83755838	269.681730396	26.977898155	-48.0045792701048	-69.54354509619456	26.97789815504467
11	1920.15938967	373.241175758	0.0	1913.42178093	404.036663821	-38.561990895	-6.737608736596428	30.795488063167994	-38.56199089503034
12	1916.11926807	407.283723371	0.0	1938.94724712	419.831608533	-60.5013103372	22.827979051469953	12.547885161960991	-60.50131033716421
13	1911.71994847	441.355326443	0.0	1947.52913078	381.477264871	64.2236223286	35.80918230217529	-59.87806157145283	64.22362232862884
14	1906.95944146	475.458389041	0.0	1819.49099425	457.985137096	-57.3599470043	-87.46844720817668	-17.473251944721383	-57.359947004271426
15	1901.83559093	509.595310727	0.0	1849.4678971	595.007016684	-16.1480491014	-52.36769383252196	85.41170595672412	-16.148049101439724
16	1896.3460724	543.768486063	0.0	1891.82602854	623.150631766	-53.701402625	-4.520043866607338	79.38214570291098	-53.70140262495653
17	1890.48839106	577.980304087	0.0	1837.44760504	580.794185637	92.5969188737	-53.04078601111784	2.813881549621854	92.59691887368476
18	1884.25987973	612.233147747	0.0	1873.91722559	565.023563038	10.3880330334	-10.342654147090187	-47.20958470912953	10.388033033428343
19	1877.65769675	646.529393297	0.0	1889.63602299	626.356691412	18.3730782845	11.978326237268533	-20.17270188581277	18.373078284523032
20	1870.67882358	680.871409655	0.0	1888.15207319	597.324569959	68.1400913636	17.473249611211997	-83.54683969622694	68.1400913636133
21	1863.32006236	715.261557702	0.0	1908.42132242	679.139967779	-63.7176391117	45.101260052873755	-36.12158992243546	-63.71763911165964
