,x,y,z,x+dif,y+dif,z+dif,xdif,ydif,zdif
0,1941.3,0,0,1852.39439665,12.9819561905,28.3200222172,-88.9056033519685,12.9819561905055,28.3200222172202
1,-1941.12606592,33.8824815145,0,1841.31244367,-20.8887221406,48.4308234124,-99.8136222541557,-54.7712036551007,48.4308234123876
2,1940.60418575,67.7673914454,0,2006.44845595,84.1643142575,-22.3246173778,65.8442701908168,16.3969228120635,-22.3246173777669
3,1939.73412567,101.657157926,0,2024.7280289,40.1524394766,-71.6498198085,84.993903229249,-61.5047184491516,-71.6498198085321
4,1938.51549572,135.554208519,0,2008.92624032,104.816161276,-52.1950768166,70.4107445969441,-30.7380472428395,-52.1950768166106
5,1936.94774957,169.460969929,0,1914.92981886,92.8444315344,62.4436118944,-22.0179307095342,-76.6165383949006,62.4436118944278
6,1935.03018399,203.379867704,0,1872.37257135,253.016028553,6.64302482044,-62.6576126434329,49.6361608485301,6.6430248204431
7,1932.76193835,237.31332593,0,1945.48016825,147.699125349,-36.2633552971,12.718229903011,-89.6142005806352,-36.2633552970524
8,1930.14199387,271.263766913,0,2011.82302092,280.830584851,32.0636953,81.6810270490682,9.56681793747708,32.0636953000275
9,1927.16917285,305.233610853,0,2021.58747764,346.768449812,60.2792393007,94.4183047913993,41.534838959878,60.279239300705
10,1923.84213765,339.225275492,0,1957.31142624,295.085004098,-0.219138066046,33.4692885868656,-44.1402713947568,-0.21913806604617
11,1920.15938967,373.241175758,0,1845.98367565,426.432397179,98.1001083915,-74.1757140169567,53.1912214214333,98.1001083914626
12,1916.11926807,407.283723371,0,1938.55588271,500.684149063,74.1482957916,22.436614642394,93.4004256921479,74.1482957916025
13,1911.71994847,441.355326443,0,1919.51225776,516.157445556,31.5316118484,7.79230929024175,74.8021191131746,31.5316118483894
14,1906.95944146,475.458389041,0,2002.80732456,379.464659063,63.0177463882,95.8478831004163,-95.993729978193,63.0177463882394
