i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
0	1941.3	0.0	0.0	2020.08134755	39.5373561352	-83.1515328311	78.7813475482208	39.53735613517554	-83.15153283107261
1	1941.12606592	33.8824815145	0.0	1866.82269802	8.19269067476	89.1175573518	-74.30336789850904	-25.68979083972107	89.11755735177175
2	1940.60418575	67.7673914454	0.0	1896.88313344	138.417439934	-83.4867716806	-43.721052319257026	70.6500484889788	-83.48677168060252
3	1939.73412567	101.657157926	0.0	1913.32989819	101.040832544	-96.0680957832	-26.40422747578404	-0.6163253814712277	-96.06809578321042
4	1938.51549572	135.554208519	0.0	1875.45713037	196.914547958	-21.6438429864	-63.05836535447036	61.360339438592604	-21.64384298637387
5	1936.94774957	169.460969929	0.0	2003.12506165	77.6457741936	-96.4290746421	66.17731208040308	-91.81519573575285	-96.42907464210617
6	1935.03018399	203.379867704	0.0	1980.23315295	143.978176447	-13.2385529899	45.20296896131197	-59.4016912569882	-13.23855298994718
7	1932.76193835	237.31332593	0.0	2005.83664015	171.865247375	51.8805032915	73.07470180487837	-65.44807855439414	51.88050329145341
8	1930.14199387	271.263766913	0.0	1877.32518116	192.105390165	40.4599443262	-52.81681270887108	-79.15837674796305	40.459944326230726
9	1927.16917285	305.233610853	0.0	1892.13458557	375.570895249	-48.5497183946	-35.0345872768622	70.33728439640669	-48.54971839464388
10	1923.84213765	339.225275492	0.0	1980.72910326	409.483337224	65.0082917207	56.88696560294139	70.25806173193291	65.00829172072707
11	1920.15938967	373.241175758	0.0	1964.65353694	419.860571654	-2.3044673986	44.49414727543012	46.6193958967491	-2.304467398600792
12	1916.11926807	407.283723371	0.0	1871.51538787	462.935105996	-11.7774458603	-44.603880198000724	55.65138262564537	-11.777445860326324
13	1911.71994847	441.355326443	0.0	1949.06880697	388.966842318	49.6114219445	37.34885849715789	-52.38848412449193	49.611421944498716
14	1906.95944146	475.458389041	0.0	1951.96233457	556.176704558	-15.018290833	45.002893110064946	80.71831551654668	-15.018290832989194
15	1901.83559093	509.595310727	0.0	1929.73767056	548.571634326	34.8665912108	27.902079632572494	38.97632359877514	34.86659121077736
16	1896.3460724	543.768486063	0.0	1837.25263996	551.336199955	17.7105457295	-59.09343243812979	7.567713891956714	17.710545729465068
17	1890.48839106	577.980304087	0.0	1960.83688243	594.130002386	-59.5726075065	70.34849136986793	16.149698299212773	-59.572607506513094
18	1884.25987973	612.233147747	0.0	1852.60424998	527.30041566	-69.1029617631	-31.655629755278696	-84.93273208650183	-69.10296176307682
19	1877.65769675	646.529393297	0.0	1933.13408734	739.844974152	-55.0918115363	55.47639058944	93.315580854237	-55.09181153632567
20	1870.67882358	680.871409655	0.0	1876.89877199	591.362837931	27.506780371	6.219948410963582	-89.5085717238445	27.506780371009597
21	1863.32006236	715.261557702	0.0	1951.03870348	616.670242582	19.1400566485	87.71864111614065	-98.59131511984162	19.140056648529608
22	1855.57803331	749.702189543	0.0	1807.77617352	829.610526352	-42.501975824	-47.80185979947655	79.90833680879089	-42.50197582395203
23	1847.44917193	784.19564771	0.0	1802.28249846	755.290924018	-54.2675893031	-45.16667347017458	-28.90472369193992	-54.26758930308744
24	1838.92972605	818.744264306	0.0	1888.43952246	746.543063525	1.22817311761	49.5097964065171	-72.20120078051497	1.2281731176051949
25	1830.01575283	853.350360087	0.0	1808.04749659	867.400277901	-15.2469093371	-21.968256238478048	14.049917813901232	-15.24690933714487
26	1820.7031154	888.016243483	0.0	1832.09121495	859.342185757	-13.265096756	11.388099552552802	-28.674057725818656	-13.265096755985397
27	1810.98747954	922.744209543	0.0	1764.05421788	841.579267576	91.6793578297	-46.93326166328304	-81.16494196696283	91.67935782969343
28	1800.86431008	957.53653881	0.0	1708.53012205	896.893290336	-31.1524622896	-92.33418802408045	-60.643248474194934	-31.15246228955222
29	1790.3288671	992.395496111	0.0	1879.96165193	930.020710863	5.6758302452	89.63278483279205	-62.37478524795912	5.675830245201823
30	1779.37620209	1027.32332927	0.0	1788.72842861	1091.69122157	-7.30814593948	9.352226516448269	64.36789229898852	-7.308145939476418
31	1768.0011538	1062.32226771	0.0	1711.68169818	1031.56294781	75.4364659523	-56.319455619657965	-30.759319902170773	75.43646595225758
32	1756.19834397	1097.39452102	0.0	1696.43263697	1043.53657291	-89.9750381047	-59.76570699759118	-53.8579481088485	-89.97503810467869
